id,title,creator,date,type,url,excerpt
src_association,The Continental Association,First Continental Congress,"Oct 20, 1774",document,https://avalon.law.yale.edu/18th_century/contcong_10-20-74.asp,
src_port_act,Boston Port Act,British Parliament,1774,document,TODO: Peabody finds archive link,
src_chronicle,"""Trade Violators Exposed!"" Boston Chronicle",Boston Chronicle,Aug 1769,newspaper,https://www.masshist.org/revolution/non_importation.php,
src_homespun,"""Made in America,"" Essex Gazette",Essex Gazette,May 1769,newspaper,https://www.masshist.org/revolution/non_importation.php,
src_imports,Continental Association overview,Colonial Williamsburg,No date given,secondary,https://www.colonialwilliamsburg.org/discover/moments-in-history/the-tea-crisis/the-continental-association/,
src_map,A map of the most inhabited part of New England,Thomas Jefferys,1774,map,https://www.loc.gov/item/74692159/,
